"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"200",1,1984,10,19,44927,17,1479115056,34,0,84,57,86,90,2,0,9,5
"482",2,2022,12,2,880,0,110649992,3,7,112,80,15,54,9,0,38,5
"483",1,2022,10,31,573,0,301869854,1,0,166,70,57,57,9,20,11,7
"484",1,1959,1,1,3299,0,127027715,65,39,107,69,96,36,81,0,8,4
"485",1,2022,12,9,811,0,57144458,6,11,81,47,33,68,24,0,22,38
"486",1,2022,12,9,899,0,56870689,2,14,150,79,77,46,5,0,11,7
"487",2,2022,10,21,2415,0,323437194,33,57,110,66,19,32,69,0,12,4
"488",1,2022,10,21,2304,0,317726339,12,16,108,64,4,40,6,0,10,6
"489",4,2022,9,28,1003,0,116144341,21,0,130,89,48,74,30,0,7,36
"490",1,2022,10,21,2699,0,328207708,39,35,164,70,39,56,6,0,9,7
"491",2,2022,5,6,2482,20,608228647,27,77,114,80,42,68,2,0,66,4
"492",2,2005,9,20,2577,0,180577478,108,56,93,63,93,88,1,0,12,4
"493",2,2021,6,25,6821,34,809306935,83,58,90,87,51,69,36,0,9,8
"494",1,2022,12,8,714,0,49262961,0,9,128,45,35,68,78,0,39,8
"495",2,2022,5,6,3185,4,614555082,38,64,97,83,47,80,2,0,24,9
"496",1,1958,1,1,8612,0,245350949,120,30,152,69,94,71,79,0,7,8
"497",1,1957,1,1,4326,0,178660459,32,3,175,51,94,34,73,0,10,5
"498",1,2022,12,9,680,0,51641685,2,15,116,61,48,55,67,0,16,8
"499",2,2022,12,2,398,0,78139948,2,2,80,33,51,59,76,0,44,6
"500",2,2022,8,25,3328,13,322336177,39,50,93,63,34,86,26,0,21,39
"503",1,2022,1,7,2881,6,391251368,13,89,135,70,60,58,4,0,16,3
"504",3,2022,1,5,2235,0,349585590,65,7,109,60,45,47,62,0,31,5
"506",2,2021,8,20,12403,0,674772936,183,63,125,85,64,81,2,5,7,9
"509",1,2022,1,7,1915,0,119238316,7,47,121,80,62,51,2,0,9,8
"510",1,2022,1,7,2297,0,116903579,11,29,123,74,35,73,0,0,21,5
"511",1,2017,6,23,4375,0,888046992,24,0,122,67,50,67,15,0,30,4
"512",1,2022,1,7,2800,0,200660871,18,77,143,53,50,79,0,0,8,3
"513",1,2021,8,6,2597,0,130655803,17,80,121,70,35,77,1,0,26,4
"515",3,2022,1,7,1420,0,88103848,7,18,135,41,27,64,36,0,60,3
"516",1,2022,1,7,1292,0,101114984,3,18,87,49,49,59,44,0,35,21
"517",2,2021,4,9,15867,0,1575467011,382,65,111,77,74,66,30,0,13,3
"518",2,2022,1,7,1178,0,91656026,9,10,110,75,85,84,10,0,31,19
"522",1,2022,1,7,811,0,53933526,1,8,78,27,10,49,62,0,49,5
"523",1,2021,11,19,1756,0,267758538,38,48,180,65,37,58,2,0,4,31
"524",1,2022,1,7,1014,0,74601456,1,17,86,28,13,41,50,0,19,3
"525",1,2021,9,17,7963,0,920797189,173,7,88,74,55,85,1,0,5,22
"526",2,2021,11,5,4771,0,539595276,68,18,97,68,72,78,4,0,7,5
"527",1,2017,12,8,8559,0,1367810478,183,64,134,71,59,80,13,0,36,5
"528",2,2020,9,21,3221,2,578207856,67,13,116,75,36,76,12,0,10,10
"529",3,2021,10,5,3423,26,775542072,61,65,170,64,14,70,9,0,9,8
"531",2,2021,11,4,9151,6,656013912,240,107,118,75,46,76,3,0,9,4
"537",3,2021,11,30,648,1,240684449,14,3,133,82,52,61,38,0,14,27
"538",1,2021,11,12,4635,5,583687007,50,49,93,63,21,52,28,0,9,3
"539",1,2022,1,7,1184,0,63803529,1,5,122,77,25,62,34,0,23,3
"540",1,2021,11,19,4431,0,466214729,105,7,88,53,55,73,9,0,3,5
"541",4,2022,1,5,759,3,236940480,32,0,170,70,61,44,40,0,37,4
"542",1,2022,1,7,733,0,41924466,0,2,94,46,55,50,71,0,10,11
"543",1,2021,11,18,2795,0,225259194,45,0,170,65,46,47,12,0,13,16
"544",3,2021,10,27,2780,2,393230256,54,21,90,79,79,70,57,0,66,8
"545",1,2021,12,1,1950,0,287201015,56,8,78,40,7,29,62,0,9,3
"546",1,2018,3,9,3947,12,599770206,33,102,94,57,36,58,5,0,15,3
"547",1,2021,10,30,2551,0,342779426,52,15,73,83,11,41,0,0,36,14
"548",2,2021,8,3,5375,10,673801126,138,24,176,73,79,86,42,0,7,18
"549",1,2020,11,2,11975,8,1168642797,188,75,128,81,57,63,40,1,10,4
"551",3,2021,11,5,4963,0,383550148,63,40,82,63,85,62,6,0,35,4
"552",3,2020,3,13,6734,0,530511203,47,14,95,77,40,47,2,0,9,3
"553",1,2022,1,7,715,0,37307967,0,1,118,44,52,94,11,0,4,29
"554",1,2021,10,22,3047,9,510876816,77,31,123,75,93,86,8,0,14,3
"556",2,2020,10,30,11215,21,1763363713,189,166,110,73,14,57,40,0,11,5
"557",2,2021,12,29,1678,12,374191487,20,4,96,66,76,82,47,0,10,32
"558",1,2022,1,9,2035,0,108809090,41,122,88,56,58,55,35,0,23,11
"559",3,2021,9,8,2780,2,436695353,86,76,98,73,60,85,17,0,24,5
"560",3,2021,9,24,4091,0,421040617,105,2,110,72,67,68,0,0,14,4
"562",3,2021,9,16,3643,0,354065229,69,3,110,86,31,53,43,0,11,6
"563",1,2021,5,21,4779,6,1143647827,180,135,110,79,70,36,0,0,6,11
"564",3,2022,1,7,3517,0,311395144,54,28,78,77,49,42,1,1,13,19
"565",2,2021,6,24,5073,0,672656250,83,9,129,83,44,62,2,0,8,6
"566",1,2021,4,1,7545,4,1256880657,117,39,181,44,22,60,61,0,42,9
"568",1,2021,11,5,2979,0,245095641,44,0,144,74,39,65,5,1,11,35
"569",2,2019,1,11,7731,2,686734357,110,145,101,66,18,68,9,0,12,4
"570",2,2021,10,21,1057,0,261414174,17,5,84,67,78,63,29,0,12,5
"571",3,2021,7,8,3272,19,610045621,101,34,154,66,63,69,21,0,11,7
"572",3,2021,3,5,14417,0,1115880852,237,123,148,59,72,62,18,0,9,3
"573",3,2021,9,3,5199,0,594482982,45,43,146,85,22,37,13,0,7,30
"574",2,2021,8,1,6026,0,566954746,171,51,120,77,51,79,20,0,26,6
"576",2,2021,11,11,4640,3,374706940,81,93,136,77,82,30,95,0,13,5
"577",3,2021,11,19,1150,0,184937148,20,38,141,59,56,63,12,0,6,36
"578",1,2022,1,7,768,0,31959571,1,1,108,46,23,48,75,30,14,4
"579",1,2021,11,19,925,0,167076418,24,47,94,42,47,36,76,0,9,5
"580",1,2015,5,10,3006,3,824420218,23,21,180,35,41,94,0,63,5,5
"581",1,2021,9,1,3098,0,363467642,111,5,122,77,51,79,5,0,16,5
"582",1,2015,10,30,9771,4,1127468248,42,70,85,59,33,52,7,15,12,3
"583",2,2022,1,7,807,0,60680939,3,0,148,68,29,73,0,0,7,7
"584",1,2021,12,1,521,1,247737946,17,89,120,83,59,73,6,0,5,11
"586",2,2021,11,19,802,0,154797871,13,27,120,72,54,71,26,0,10,4
"587",1,2021,11,17,731,0,198883004,14,14,106,86,86,79,11,0,8,9
"588",1,2022,1,7,788,0,124407432,13,0,110,63,31,35,93,0,29,3
"589",1,2021,5,21,3069,4,850608354,25,46,169,39,36,45,81,0,8,13
"590",1,2021,8,29,4651,0,376333030,24,6,118,80,21,55,1,0,26,17
"591",1,2021,6,25,4999,0,516784627,43,19,92,91,79,66,32,0,9,16
"592",1,2019,11,1,8327,24,1608045237,205,130,112,45,19,60,63,0,9,6
"593",1,2020,12,25,3297,3,506778838,25,3,140,79,56,91,26,0,13,21
"594",1,2010,11,29,35684,6,1472799873,195,125,105,73,52,76,13,0,5,3
"595",1,2021,7,8,3506,10,513643924,103,76,178,76,63,77,14,0,15,22
"596",2,2021,12,23,2999,0,261286503,60,17,108,96,71,42,57,0,8,9
"597",1,2021,5,21,3681,0,783706581,20,21,173,40,19,29,86,0,34,4
"598",3,2021,5,7,4846,10,422691058,54,16,101,67,40,90,3,0,34,6
"599",1,2020,1,1,14311,0,1062345656,255,32,120,80,24,62,41,2,11,23
"600",1,2020,10,23,8207,0,1252563873,175,55,144,73,66,80,44,0,9,12
"601",1,2021,3,19,4873,0,851070493,65,88,133,75,96,61,0,0,18,4
"602",2,2021,10,22,772,0,263894529,7,3,158,46,62,83,53,0,97,28
"603",1,2021,10,1,1150,0,345903614,20,99,120,81,92,90,9,0,8,7
"604",1,2020,2,21,5398,4,951637566,111,127,129,61,59,46,56,0,13,5
"605",2,2016,11,18,7370,0,956865266,92,127,102,74,45,89,5,0,26,13
"606",4,2021,8,13,6890,0,427486004,122,11,124,79,79,84,2,0,5,5
"607",1,2016,4,20,1966,0,156658366,4,2,90,73,31,45,85,24,11,3
"608",1,2021,4,14,2226,0,624515457,29,0,161,78,65,52,46,0,12,31
"609",1,2017,3,30,4204,0,777765388,39,45,120,60,11,33,90,0,8,5
"610",1,2021,7,28,1959,0,412795151,19,0,81,45,12,57,7,0,23,3
"611",1,2019,1,1,7191,0,1138474110,146,18,150,78,47,70,18,0,15,9
"612",2,2021,9,2,2012,0,355219175,101,12,105,76,58,84,10,0,13,10
"613",1,2021,8,10,1211,2,290228626,30,2,79,63,76,67,38,0,6,4
"614",1,2010,10,4,7109,2,1062956628,5,0,146,52,7,61,51,0,11,3
"615",1,2020,4,17,6638,0,1180094974,167,19,124,64,8,37,79,0,9,5
"616",1,2014,1,1,17354,8,1456081449,92,122,126,53,66,85,2,0,24,4
"617",1,2021,8,6,6392,0,432702334,174,73,121,75,53,74,2,0,11,5
"618",3,2021,9,3,5481,0,489945871,144,30,136,80,33,60,0,0,32,14
"619",1,2021,6,25,2636,3,465959382,36,82,102,77,26,63,58,0,11,5
"620",3,2021,10,27,824,0,1223481149,8,8,77,73,54,74,23,0,41,23
"622",1,2017,6,15,14749,0,2288695111,188,34,84,44,22,48,38,0,33,24
"623",2,2021,1,28,8087,0,720825549,92,34,102,89,77,82,3,0,17,11
