"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"336",2,2022,8,5,5730,10,497225336,108,16,145,59,20,74,1,0,15,5
"139",1,2017,1,1,16596,13,2559529074,7,0,95,60,17,45,16,0,11,2
"95",1,2020,6,5,31,39,38411956,2,107,88,53,34,47,9,0,83,4
"207",1,2023,5,26,547,0,68616963,15,15,106,67,24,78,15,0,30,4
"257",2,2023,5,1,327,13,92035115,14,110,104,80,38,88,11,0,11,5
"59",1,2023,7,14,525,41,16011326,34,115,128,86,42,72,59,0,9,19
"125",1,2021,6,11,457,24,330346424,8,116,92,81,39,60,31,0,7,3
"335",1,2022,12,2,811,4,148469433,11,58,142,61,92,91,0,0,26,3
"359",1,2000,10,24,25065,6,1624165576,63,0,105,55,40,90,1,0,32,6
"30",1,2023,5,25,2988,101,127408954,0,0,110,67,78,85,2,0,33,5
"311",2,2020,3,20,9161,5,1221813483,240,98,118,65,63,79,3,0,10,3
"46",1,2020,11,27,3372,19,570515054,65,48,122,67,49,64,10,0,10,3
"299",3,2023,3,2,1208,34,146409671,10,41,94,82,53,67,34,0,9,8
"305",2,2023,3,31,709,0,58473276,8,1,96,48,50,80,40,0,37,20
"92",1,2023,3,17,804,25,95131998,29,76,172,74,76,76,6,0,10,9
"480",1,2022,12,2,353,2,135611421,2,74,155,49,42,77,3,0,12,9
"129",2,2017,8,11,15032,30,2355719893,221,96,115,35,12,30,93,0,10,3
"227",2,2023,5,26,381,5,46065667,23,82,134,76,61,58,6,0,16,3
"266",1,1997,1,1,472,2,103762518,0,0,144,74,75,73,42,0,9,4
"406",1,2022,8,19,1963,16,551305895,57,119,90,80,71,69,2,0,27,10
"415",3,2022,9,9,852,0,174006928,14,1,87,87,52,52,31,0,28,24
"212",2,2022,9,29,161,6,71007139,10,79,135,80,85,74,62,0,8,9
